id	filename	md5	size	state
a61c4b37-c67e-4c71-b9ae-6f6a8b135fd4	ac69d62a-af65-43d2-aac7-216908fc1116.FPKM.txt.gz	8346ea2fe3418c18ee17e417118c7461	486141	validated
d021e446-9d0f-4a1e-8ee2-a0cd43101d95	c3b51c97-dcea-4934-8cb3-9728439355c3.FPKM.txt.gz	c3a3f761a2a328c2d2c8999f656f5773	492757	validated
47e2fca8-7e44-481c-ba3d-044671801ebf	f42ef7e5-39e3-4a91-b8bb-11a38d24c72b.FPKM.txt.gz	ede50883873b99e5d3fa21bb134b6fcb	510433	validated
61d10f00-de5b-481a-9958-c5fe1fdbd988	5e480597-1410-4c25-bc82-6712d2743187.FPKM.txt.gz	cc8111fe594ff2967e9b4c94761b9b10	545977	validated
46fd51ee-65ac-4ba0-a055-5be0e7413c95	551f910f-e0d8-4892-8c0c-60a833e0f328.FPKM.txt.gz	968279e8c8efc81cd091af89a52d8995	501960	validated
4f191c59-24c5-442c-a7a6-2ad124c20905	6be97400-e6e4-49bd-bde8-8ed1597a8d7c.FPKM.txt.gz	cd048774cbffb288a78139008197ba70	523287	validated
60b5f329-0613-4081-996d-c3e7dbb80fe4	06f6022f-d28b-4c80-ac20-ee5923b5e0b5.FPKM.txt.gz	6f675d3953ce6c6e2b48b700e592fb71	525806	validated
ff293642-0d19-4a51-8839-fc29ec475387	c7dec3e3-b999-48b9-8183-4b3515930b1d.FPKM.txt.gz	bf4b1e3a4a2d78fc129eba6c79909a0e	512841	validated
58aeb457-b7f0-4bf0-9864-058910121f95	4ea02aac-13df-4d8c-8f64-d1ee1c338e04.FPKM.txt.gz	8104a79c0e4fa0df11df1feb8ace733b	575405	validated
5ff29111-8faa-4d9b-899a-1c2bc5aaddfb	6a5dd3ed-c946-461c-a98e-c19e73ba3ef6.FPKM.txt.gz	99063d3dfe80037a31b9a449bbf0080e	540565	validated
8f984177-abe7-4731-bde8-30cad2afa9c2	71f14da0-9c2d-4ff8-b57e-0731ff1c27a6.FPKM.txt.gz	13dae6dbc31effb95e545d8f015883a9	504255	validated
62e4b8b3-6dc4-462d-81e1-1c5900e51f02	49b5b772-6a7b-4aae-a9ed-8a95a0d9a28d.FPKM.txt.gz	df062798fb3d91439788bf0cefb649d4	518326	validated
5774ecc9-e95b-480c-824b-bfc9b9c90aab	c0fedec6-1287-4927-ba54-e8aa61135c14.FPKM.txt.gz	a2a2ada77a699491de6cc438e455d4ff	503295	validated
5a2c04db-4ee1-4279-9156-d2628146a0a0	cd622462-0fa9-45eb-8500-d7330159e91c.FPKM.txt.gz	348be88344bcf5def970f2052c153e9d	500199	validated
86b6c777-bdc1-4b88-a930-d6631dd53127	5a628dc9-3882-4df4-9b5f-4dd23ceeab92.FPKM.txt.gz	b14d2b1ed5219b30b4411ecb5b29cc15	524194	validated
89db5f77-b095-4478-b148-32de1e23bf9b	e97f9297-8712-44ec-a168-83f8fb8bb006.FPKM.txt.gz	79e0b116eb582341bd4ba118774ec16d	510874	validated
8885e4e7-1535-48b1-9535-02ad7d770c2e	ac0c4f58-bf0d-4236-ae26-436221f01636.FPKM.txt.gz	8488de023f2b94ab341f5bfe293ff5ae	506848	validated
a0c5a725-5473-4d88-a8bc-20ecea5308c9	a6eef708-b398-40ec-9b8c-8f4bfeea52a2.FPKM.txt.gz	9f065ce3b27ac319eaad0700184a1da5	534437	validated
a984f04c-5198-4f36-b5c0-cdfa83575577	b832f785-2005-4b47-b131-09aa4c70d608.FPKM.txt.gz	f29adcecb9ff93ff7769a1ba3dba4fd1	504107	validated
fbecada1-e144-46f8-bb49-69381b22f696	e57f046b-b3b6-4774-9659-3c88cd589c19.FPKM.txt.gz	28c8e0f185a125b84d2c13206c3a7edf	521155	validated
e2a62308-cb17-471b-90bb-fefc8aa071bf	f233a324-1cdc-43b7-aa8f-f56e7ab5ce78.FPKM.txt.gz	6e86592487e556a8935226355f60dc36	504166	validated
82983215-9c24-43ab-abd3-466a8fd582eb	48436ca7-2b7f-4615-9c88-8ede9398d11a.FPKM.txt.gz	573ce00eddd45017a1af243d517ae325	518795	validated
11aa2252-e9bf-404e-bbae-0f3ac428c071	f3763e9c-68bb-4e60-9370-e041428fd5b1.FPKM.txt.gz	4da0369cb21d35a614c84a110f1fabc1	528363	validated
1b5f86e4-ab29-408d-8755-68e202a9cd14	3ec6ccd2-6cd9-4094-8a3d-98ae065ff95c.FPKM.txt.gz	87513832ae3b5cae0558dd2255201411	500593	validated
219c220a-5f56-4d85-8d87-00f3e9da2917	be6d9906-45f4-4e32-83d0-327fa8c21666.FPKM.txt.gz	95d8617336ad8523ca62a7af04889a01	539046	validated
26461186-e854-4ab3-a6ae-fb089dd29110	57e8b21e-eeb7-4f8e-a8b3-b6016bd37c96.FPKM.txt.gz	7045d7dd178834d16a56cc4a8c3d0f9c	521995	validated
1d034bd3-e9af-4ec6-a264-f5519953debe	75965f7b-8ec7-481e-ae22-68ba7f7eafed.FPKM.txt.gz	dd881e9c4bea80c9aaf47e7b144210bd	519822	validated
34e4995d-256b-4c15-b690-139bd9eeeb90	1414d172-710a-4fb6-af82-f8b0c923b259.FPKM.txt.gz	dad4d93c8b04065326269b513205b39b	516490	validated
42f7963e-68e5-408d-874a-13dcb6228b5a	a19d9498-5d19-4aef-9db9-d62deef77142.FPKM.txt.gz	1c7cfb452c604b6c4168244fa87c7cee	512907	validated
47ca73c9-00ce-4b35-9689-8685f12508f4	690796a7-a685-4fcf-a121-33261d9fdd83.FPKM.txt.gz	12c969e4d34e489920b06d77fb764bc5	509030	validated
4dbda499-29c8-49e7-ad14-502542c41f73	1c421a13-81a2-49de-b0a1-a2c0dc563357.FPKM.txt.gz	cd01dfb599d6789bcbc135bd73fd4180	491281	validated
483f9757-c10f-44d7-a826-7acda6a9c8a1	c98b8334-836a-4c3c-b149-b08a7256aa68.FPKM.txt.gz	b7d3b1d496a9eeb7f79e1a3a58fe1bf1	524203	validated
afe9dd98-9d7b-435d-aa06-48463a0f201b	f817f863-8d9f-4b22-b371-4e342bfe07d1.FPKM.txt.gz	2f2645ab5e20b0093f275b5af884c548	502919	validated
fa3a1e9a-d756-4047-b10d-5515681a75aa	323a8944-dd67-4010-aa40-506285dbe4bd.FPKM.txt.gz	25fdf8eb2117aac401e787a5d1f7be50	554725	validated
60ccad5e-69b0-4be1-a170-91b926a65fa0	fc6344e0-37d2-45dc-843b-02c6ba035f22.FPKM.txt.gz	a545a41409aef6d7dc11226211d5008b	510193	validated
864c896e-0d16-4fbb-b5d3-cfec4f20d368	67943973-e57a-4285-bd6e-995053d23fe0.FPKM.txt.gz	30e7539ad4a46bd95063de429cdf6e5a	505826	validated
8bf0abf6-669e-4773-88f9-0d9fd51fe372	84bf2e9a-56a4-49ba-bbb9-ad931c77e117.FPKM.txt.gz	b6adc04dca1e58b78be4cbeb0da52b9c	512093	validated
8c17be82-272c-43ac-b021-95dad7894ff2	915d5363-e343-4154-86cb-dbef1a586192.FPKM.txt.gz	3d4d4fb1cbe17a9baf9ae0f1ad99c9b1	505887	validated
8a2de886-aea1-46af-8318-2332b1e4beaa	fdc8ad41-ba94-485d-8bd6-6ea2794847f2.FPKM.txt.gz	6be8b3ecffb827232e0ab99a423f2dcb	523689	validated
8ab2be00-8f52-4986-85a2-6f6dc2e9be3d	f4ff65b1-0c38-4cc3-85ce-52e8a0640446.FPKM.txt.gz	842d1d81deb173f4e3932a5ac6ea4569	526184	validated
8c0e71c7-876d-443e-860d-40dee3030935	82cc9906-3664-4b13-bdb6-405db9d15e31.FPKM.txt.gz	0a7d95f320e1a7c13be9ca001e47660d	516201	validated
92cdd867-a142-4465-8e91-72d34bcfd269	b5086d62-fa3b-41ad-b0dc-e7c45b726bf7.FPKM.txt.gz	b1486e8c15351f0bc715063d98e462a9	517622	validated
a2ae8ff5-f15b-4613-af02-e1ce7eda0055	aa623193-428e-41b8-b051-2d9693d852f8.FPKM.txt.gz	7391b31a6abf8539dec24c47b58236e8	539442	validated
9bd6ae25-bd3b-4360-b3be-44f7f60a9691	c0b05393-e154-459d-a17a-9e03d404ae6e.FPKM.txt.gz	dc8903cb6047d0b5c518423894a0f0f4	510612	validated
afbb646d-469a-4ba2-8a8b-b83405ca3ad4	4a775326-e623-47d4-b105-d32fc21afb8a.FPKM.txt.gz	da10752c6ad25199bcd6cf49e7add9a1	519792	validated
bd47b547-3454-4ffd-83fc-baa22406ab27	406342c7-8231-4efb-a8dd-b65238aacd9b.FPKM.txt.gz	926b681ff5f8a45bc8655b7350ca86fa	499468	validated
2ed4cd98-0706-4eac-aa3c-baf5fff09a65	87ba691e-883a-4e45-9649-ab80e53c9243.FPKM.txt.gz	5f193be2250ce42aa7076afaad40f9f4	541884	validated
372648f5-dc0d-4c96-b359-166202c7629e	33895df9-2355-4a0b-ab6e-6218062ff40f.FPKM.txt.gz	74a96c20d06e1c9422a15533e2abaac4	499162	validated
45c08771-711c-44b0-a370-44a7499f96fd	cafa9291-b00f-4ca4-b8e1-7352c5d885b2.FPKM.txt.gz	3620d45777883ee9ed6ae14725fa5712	512264	validated
7bca6750-0fcb-4bbc-a63f-8d40228d8a6b	ec57a9a3-90f1-4559-a241-d647a9ce37e8.FPKM.txt.gz	d2e2b6861023702d3a348ade60abfe14	502633	validated
7e908ef8-8064-445f-9cec-4b3c7b583f2a	f0537081-d849-4717-8cf3-eef54655c198.FPKM.txt.gz	92cc64faaf9ee0c42c9fda3960057914	495040	validated
298971c6-a8f6-47d9-8a17-81816fc476ac	9df0a5b7-5bf9-4795-9910-bbf7cccf6fda.FPKM.txt.gz	1caa152d55dc6f2641b748a34f3915e7	496976	validated
50973290-0e04-46db-9592-31565c361592	f8484afe-c7e4-4952-8b17-551a2c266764.FPKM.txt.gz	3584820b8c8b58fa83eee7dc0ab3b2c4	489042	validated
5e4ed468-c08c-411a-b076-ce223167cf79	bd2dfab3-88a8-4673-ba36-3daf252d0b4d.FPKM.txt.gz	5e488df0bb14e38c2ccf8ea11054e220	492384	validated
7afa9683-0452-4397-89aa-735ac1afaa7d	bf8d10e1-1241-48fa-95a2-9e97fc58c17a.FPKM.txt.gz	9d83fb912567681ad1d968b15859ab22	499679	validated
