u	v	score
ENSG00000000419	ENSG00000124217	0.8063288670763377
ENSG00000000938	ENSG00000010610	0.7443456020938161
ENSG00000000938	ENSG00000028137	0.7230168597586633
ENSG00000000938	ENSG00000066336	0.7206895212059137
ENSG00000000938	ENSG00000069424	0.7722397523132238
ENSG00000000938	ENSG00000110324	0.71721050779949
ENSG00000000938	ENSG00000115956	0.7352285961234689
ENSG00000000938	ENSG00000116701	0.7227868666020024
ENSG00000000938	ENSG00000123338	0.7234574186283783
ENSG00000000938	ENSG00000135077	0.7035628069587312
ENSG00000000938	ENSG00000140678	0.8622667017179622
ENSG00000000938	ENSG00000141506	0.7657959386708098
ENSG00000000938	ENSG00000142347	0.7695405007966047
ENSG00000000938	ENSG00000143119	0.7389619035580786
ENSG00000000938	ENSG00000149781	0.7804356907530857
ENSG00000000938	ENSG00000160255	0.8443171024196628
ENSG00000000938	ENSG00000160883	0.7431454260251953
ENSG00000000938	ENSG00000162511	0.7516539129356167
ENSG00000000938	ENSG00000163131	0.7292074348706941
ENSG00000000938	ENSG00000167261	0.7651726203283422
ENSG00000000938	ENSG00000167613	0.7242487644188514
ENSG00000000938	ENSG00000168995	0.7113470115976962
ENSG00000000938	ENSG00000186074	0.7194228539583992
ENSG00000000938	ENSG00000186818	0.7231587670759957
ENSG00000000938	ENSG00000241839	0.7190364332685429
ENSG00000001167	ENSG00000024048	0.7378093840113839
ENSG00000001167	ENSG00000044090	0.7406986664025529
ENSG00000001167	ENSG00000112578	0.8045850086515132
ENSG00000001167	ENSG00000124641	0.8752617006586303
ENSG00000001167	ENSG00000124659	0.7664209864397022
ENSG00000001167	ENSG00000146223	0.8607273700836758
ENSG00000001167	ENSG00000164663	0.8098782310488557
ENSG00000001629	ENSG00000001631	0.7732466820103803
ENSG00000001629	ENSG00000127980	0.7122628301453778
ENSG00000001629	ENSG00000196367	0.7172093343782335
ENSG00000001631	ENSG00000105793	0.7274974584625693
ENSG00000001631	ENSG00000127980	0.7738400434176645
ENSG00000001631	ENSG00000128585	0.7158945517038012
ENSG00000001631	ENSG00000135164	0.7298954112260135
ENSG00000001631	ENSG00000157741	0.7235401725992064
