C6orf97
NBN
BAI3
ESR1
PALB2
CCND1
NOV
TNP1
CHD9
ZMIZ1
NTRK3
BRIP1
CHEK2
XRCC3
SLC4A7
MRPS30
AKT1
TRIM33
LSP1
SIK1
BRCA1
RAD51
PELI2
FGF10
RAD51C
MAP3K1
PIK3CA
MELK
