u	v
ENSG00000172534	ENSG00000177606
ENSG00000147133	ENSG00000177606
ENSG00000169083	ENSG00000177606
ENSG00000112592	ENSG00000177606
ENSG00000005339	ENSG00000177606
ENSG00000111679	ENSG00000137101
ENSG00000124813	ENSG00000177606
ENSG00000115415	ENSG00000177606
ENSG00000138378	ENSG00000177606
ENSG00000137309	ENSG00000177606
ENSG00000253729	ENSG00000177606
ENSG00000141646	ENSG00000177606
ENSG00000127445	ENSG00000177606
ENSG00000107643	ENSG00000177606
ENSG00000175387	ENSG00000177606
ENSG00000187764	ENSG00000137101
ENSG00000075426	ENSG00000177606
ENSG00000066117	ENSG00000177606
ENSG00000111424	ENSG00000177606
ENSG00000102882	ENSG00000177606
ENSG00000116030	ENSG00000177606
ENSG00000180530	ENSG00000177606
ENSG00000177426	ENSG00000177606
ENSG00000084676	ENSG00000177606
ENSG00000095585	ENSG00000137101
ENSG00000100393	ENSG00000177606
ENSG00000050748	ENSG00000177606
ENSG00000157514	ENSG00000177606
ENSG00000283681	ENSG00000177606
ENSG00000166949	ENSG00000177606
ENSG00000135829	ENSG00000177606
ENSG00000162772	ENSG00000177606
ENSG00000100644	ENSG00000177606
ENSG00000132382	ENSG00000177606
ENSG00000184304	ENSG00000177606
ENSG00000165732	ENSG00000177606
ENSG00000269404	ENSG00000177606
ENSG00000128272	ENSG00000177606
ENSG00000121022	ENSG00000177606
ENSG00000105254	ENSG00000187555
ENSG00000137947	ENSG00000177606
ENSG00000171720	ENSG00000177606
ENSG00000103275	ENSG00000177606
ENSG00000131051	ENSG00000177606
ENSG00000156127	ENSG00000177606
ENSG00000146592	ENSG00000177606
ENSG00000188986	ENSG00000177606
ENSG00000105640	ENSG00000177606
ENSG00000140044	ENSG00000177606
ENSG00000115641	ENSG00000157077
ENSG00000101040	ENSG00000157077
ENSG00000124177	ENSG00000157077
ENSG00000140983	ENSG00000157077
ENSG00000141646	ENSG00000171223
ENSG00000107643	ENSG00000171223
ENSG00000075426	ENSG00000171223
ENSG00000166949	ENSG00000171223
ENSG00000156127	ENSG00000171223
ENSG00000140044	ENSG00000171223
ENSG00000107643	ENSG00000130522
ENSG00000075426	ENSG00000130522
ENSG00000050748	ENSG00000130522
ENSG00000162772	ENSG00000130522
ENSG00000121022	ENSG00000130522
ENSG00000156127	ENSG00000130522
ENSG00000140044	ENSG00000130522
ENSG00000113658	ENSG00000141646
ENSG00000172216	ENSG00000066336
ENSG00000147140	ENSG00000066336
ENSG00000102145	ENSG00000066336
ENSG00000137265	ENSG00000066336
ENSG00000269404	ENSG00000066336
ENSG00000113658	ENSG00000170365
ENSG00000112038	ENSG00000116329
ENSG00000277571	ENSG00000196136
ENSG00000109062	ENSG00000082556
ENSG00000113658	ENSG00000039650
ENSG00000152977	ENSG00000111087
